1341,867
299,634
1000,1752
532,1394
1021,1545
1931,637
1578,1984
684,1308
426,1875
1385,431
751,1639
755,1883
1774,435
647,749
406,319
1608,440
143,1355
1797,314
1244,1292
1558,1836
1564,1921
825,1529
1650,964
947,918
655,1116
1189,1647
713,1919
1421,19
1034,756
1989,21
136,310
1949,1044
396,1109
1696,1428
1969,1687
1573,75
619,716
1221,648
450,959
99,349
1513,1336
461,1805
1743,446
414,1616
274,1770
1917,500
378,1638
53,462
409,1237
1410,1214
525,1916
133,1840
1696,382
1540,431
1277,1701
449,1620
1454,844
613,988
1862,1002
825,711
632,680
1505,77
1811,1652
102,1691
378,1214
1326,315
484,303
169,1570
1629,1370
203,1266
1047,1835
1057,320
897,1435
1218,416
273,950
355,1564
305,1571
1911,484
100,1858
1698,1919
1348,1189
760,1567
1865,1301
518,51
1447,1589
188,662
597,1523
1910,884
965,91
998,253
1653,1062
544,130
1345,1743
898,1148
659,1190
1101,1773
1113,526
436,270
1344,49
1136,1991
274,483
1757,1949
1642,883
69,677
64,286
1079,743
373,862
1492,238
524,288
326,907
515,708
44,505
1101,45
374,716
1662,71
714,1331
898,1208
1857,108
362,415
1026,1382
1396,1321
1144,1698
1094,1075
1298,1379
1014,1322
167,692
761,510
1139,1177
1942,1077
307,93
1846,1931
409,1306
1323,23
1100,1128
938,793
1088,140
1398,560
205,1922
1531,760
1471,1205
371,288
73,1019
696,1386
646,718
967,1163
670,1813
285,194
433,497
1745,374
483,1075
525,1831
276,347
410,1223
1578,139
296,1090
1870,1994
1447,1032
1120,1508
677,1259
648,814
1924,1043
1066,1160
1782,1231
405,1148
808,1351
1912,114
72,685
1185,1958
1893,257
820,225
562,1811
1972,515
902,995
1457,1795
1123,837
126,141
272,513
381,1546
997,742
922,62
467,735
129,586
1630,173
1181,1585
249,1059
925,296
92,1057
1797,1175
1587,1672
127,828
1414,1709
1196,830
1280,1465
107,959
463,476
531,715
712,1361
545,1917
1748,1981
1737,673
